               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.013753,            0.005459,          0.00094647,             0.97704,             0.98115,             0.97543,             0.85853,            0.012173,            0.003832,           0.0037573,            0.006304,            0.006304,            0.006304
                 114,            0.013832,           0.0055053,          0.00090502,             0.98145,             0.98204,             0.97795,              0.8532,            0.012956,           0.0039352,           0.0033179,            0.006271,            0.006271,            0.006271
                 115,            0.013775,           0.0054032,           0.0010972,             0.97812,              0.9829,             0.98176,             0.86524,            0.012091,           0.0037228,           0.0028189,            0.006238,            0.006238,            0.006238
                 116,            0.013588,           0.0055713,           0.0010558,             0.97704,               0.978,              0.9808,              0.8192,            0.014448,            0.004359,           0.0040105,            0.006205,            0.006205,            0.006205
                 117,            0.013577,           0.0054487,           0.0011052,             0.97472,               0.978,             0.97723,             0.86371,            0.012065,           0.0038136,           0.0042896,            0.006172,            0.006172,            0.006172
                 118,            0.013741,           0.0053466,           0.0010766,             0.97771,             0.97992,             0.97716,             0.85766,            0.012236,           0.0038055,           0.0039332,            0.006139,            0.006139,            0.006139
                 119,            0.013709,           0.0054633,           0.0009949,             0.97708,             0.98429,             0.97352,             0.86432,             0.01215,           0.0037805,           0.0037865,            0.006106,            0.006106,            0.006106
                 120,            0.013282,           0.0052745,           0.0010043,             0.97727,             0.98429,             0.97693,              0.8788,            0.011545,           0.0037124,           0.0038867,            0.006073,            0.006073,            0.006073
                 121,            0.013472,           0.0053764,          0.00099345,             0.97665,             0.98429,             0.97635,             0.86151,            0.012605,           0.0038813,           0.0038997,             0.00604,             0.00604,             0.00604
                 122,            0.013309,           0.0052419,           0.0011248,             0.97157,             0.97903,             0.97589,             0.83975,             0.01401,           0.0043067,           0.0039791,            0.006007,            0.006007,            0.006007
                 123,            0.013172,           0.0053471,          0.00088199,             0.97788,             0.98429,             0.97842,             0.86576,            0.012134,           0.0038028,           0.0035439,            0.005974,            0.005974,            0.005974
                 124,            0.013217,           0.0051693,          0.00088108,             0.97586,             0.98357,             0.97511,              0.8616,            0.012145,           0.0037825,           0.0038357,            0.005941,            0.005941,            0.005941
                 125,            0.013264,           0.0052204,           0.0010561,             0.97715,             0.98138,             0.97721,             0.86666,            0.012248,           0.0038103,           0.0038422,            0.005908,            0.005908,            0.005908
                 126,              0.0131,           0.0051438,          0.00083856,             0.97901,             0.98201,             0.97392,             0.84086,            0.013338,           0.0039467,           0.0039659,            0.005875,            0.005875,            0.005875
                 127,            0.012835,           0.0051381,          0.00094001,             0.97847,             0.98303,             0.97426,             0.85683,            0.012201,           0.0037602,            0.003933,            0.005842,            0.005842,            0.005842
                 128,            0.013316,           0.0053396,            0.001028,             0.97653,             0.98429,             0.97732,             0.85706,            0.012319,           0.0037656,           0.0036582,            0.005809,            0.005809,            0.005809
                 129,            0.013253,           0.0053262,          0.00079164,             0.97071,             0.97119,             0.96919,             0.84335,            0.012728,           0.0039111,            0.004317,            0.005776,            0.005776,            0.005776
                 130,            0.013221,           0.0052832,          0.00099323,              0.9733,             0.98144,             0.97489,             0.85875,            0.012164,           0.0037196,           0.0039047,            0.005743,            0.005743,            0.005743
                 131,              0.0129,           0.0054177,          0.00092416,             0.97613,             0.97865,             0.97437,             0.86336,            0.011944,           0.0037599,           0.0039277,             0.00571,             0.00571,             0.00571
                 132,            0.012735,           0.0052471,          0.00083651,             0.98036,             0.98647,             0.97629,             0.86019,            0.011824,           0.0037535,           0.0036525,            0.005677,            0.005677,            0.005677
                 133,            0.012704,           0.0053301,           0.0009805,             0.97863,             0.98289,             0.97329,             0.86345,            0.011938,           0.0037547,           0.0040595,            0.005644,            0.005644,            0.005644
                 134,            0.012481,           0.0052423,           0.0010995,              0.9762,             0.97312,             0.97681,             0.86761,            0.012073,           0.0036967,           0.0043505,            0.005611,            0.005611,            0.005611
                 135,            0.012553,           0.0049773,          0.00096296,             0.97632,             0.98149,             0.97663,             0.86699,            0.011832,           0.0038295,           0.0037444,            0.005578,            0.005578,            0.005578
                 136,            0.012713,            0.005086,          0.00092453,             0.97237,             0.97713,             0.97233,             0.85547,            0.012363,           0.0038177,           0.0040623,            0.005545,            0.005545,            0.005545
                 137,            0.012391,           0.0051337,          0.00077648,             0.97544,              0.9798,             0.97805,             0.84588,            0.012535,           0.0038464,           0.0037489,            0.005512,            0.005512,            0.005512
                 138,            0.012239,           0.0049727,          0.00080929,             0.97388,             0.98079,             0.97546,             0.85936,            0.012252,           0.0039053,           0.0040674,            0.005479,            0.005479,            0.005479
                 139,            0.012437,           0.0050832,          0.00092137,             0.97408,             0.98263,             0.97615,             0.86161,            0.012154,           0.0037999,            0.003982,            0.005446,            0.005446,            0.005446
                 140,            0.012252,           0.0049297,           0.0010168,              0.9776,             0.97825,             0.97805,             0.85152,            0.012596,           0.0039207,            0.003367,            0.005413,            0.005413,            0.005413
                 141,            0.012422,           0.0048445,           0.0011292,             0.97653,              0.9806,             0.97608,             0.86289,            0.011715,           0.0037574,           0.0039119,             0.00538,             0.00538,             0.00538
                 142,            0.012611,           0.0049377,          0.00090818,             0.97829,              0.9774,             0.97689,              0.8595,            0.012007,           0.0036734,           0.0040722,            0.005347,            0.005347,            0.005347
                 143,            0.011988,           0.0049186,          0.00074468,             0.97069,             0.98341,             0.97701,             0.87405,             0.01178,           0.0035468,           0.0041172,            0.005314,            0.005314,            0.005314
                 144,             0.01205,            0.005003,          0.00075569,             0.97899,             0.97835,             0.97326,             0.86333,            0.011762,           0.0035158,           0.0040058,            0.005281,            0.005281,            0.005281
                 145,            0.011854,           0.0050002,          0.00091335,             0.98023,             0.97964,             0.98016,             0.86946,            0.011438,           0.0036894,           0.0037443,            0.005248,            0.005248,            0.005248
                 146,            0.011786,           0.0046265,          0.00076186,              0.9696,             0.97445,             0.97678,             0.85935,            0.012117,           0.0037258,           0.0049489,            0.005215,            0.005215,            0.005215
