               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.015851,           0.0078976,           0.0013382,             0.97931,             0.98367,             0.97735,             0.86892,           0.0090085,           0.0043778,           0.0039783,            0.006205,            0.006205,            0.006205
                 117,            0.016148,           0.0078783,           0.0016999,             0.97758,             0.97486,              0.9766,             0.85309,           0.0094462,           0.0042803,           0.0043878,            0.006172,            0.006172,            0.006172
                 118,             0.01641,           0.0080743,           0.0012958,             0.97756,               0.978,             0.97654,             0.87213,           0.0088134,           0.0041027,           0.0042912,            0.006139,            0.006139,            0.006139
                 119,            0.016216,           0.0081028,           0.0012632,             0.97383,               0.978,             0.97622,             0.86389,           0.0091386,           0.0042794,           0.0044516,            0.006106,            0.006106,            0.006106
                 120,             0.01615,           0.0074949,           0.0011094,              0.9729,               0.978,             0.97676,             0.87093,           0.0086297,           0.0043331,           0.0045597,            0.006073,            0.006073,            0.006073
                 121,            0.015841,           0.0076911,           0.0012652,             0.97619,               0.978,             0.97603,             0.87274,           0.0086438,           0.0043319,           0.0043758,             0.00604,             0.00604,             0.00604
                 122,            0.015565,           0.0076956,           0.0013665,             0.97552,             0.97697,             0.97774,             0.86854,            0.009192,           0.0044141,           0.0043835,            0.006007,            0.006007,            0.006007
                 123,            0.015713,           0.0077305,           0.0012273,             0.97317,             0.98115,             0.97644,              0.8647,           0.0089757,            0.004259,            0.004357,            0.005974,            0.005974,            0.005974
                 124,             0.01579,           0.0079534,           0.0012332,             0.97712,             0.97816,             0.97551,             0.85594,           0.0089232,           0.0042938,           0.0044538,            0.005941,            0.005941,            0.005941
                 125,            0.015744,           0.0077721,           0.0013354,             0.97764,             0.98115,             0.97849,             0.85609,           0.0091758,           0.0042144,           0.0038627,            0.005908,            0.005908,            0.005908
                 126,            0.015299,           0.0075404,           0.0011728,             0.97707,             0.98246,             0.97713,             0.86756,           0.0091273,           0.0041587,           0.0037529,            0.005875,            0.005875,            0.005875
                 127,            0.015585,           0.0077928,           0.0012931,             0.97885,             0.98115,             0.98149,             0.86958,           0.0089168,           0.0043484,           0.0033469,            0.005842,            0.005842,            0.005842
                 128,            0.015541,           0.0075619,           0.0013267,             0.98288,             0.98375,             0.98011,             0.86503,           0.0088729,           0.0041306,           0.0039266,            0.005809,            0.005809,            0.005809
                 129,            0.015321,           0.0077817,           0.0012677,             0.97549,               0.978,             0.98047,             0.87255,           0.0089288,            0.004164,           0.0040797,            0.005776,            0.005776,            0.005776
                 130,            0.015144,           0.0077438,           0.0011641,             0.97636,             0.98115,             0.97959,             0.87859,           0.0085674,           0.0041108,           0.0036993,            0.005743,            0.005743,            0.005743
                 131,            0.015553,           0.0077717,           0.0011643,             0.97266,             0.98115,             0.97849,             0.87174,           0.0086283,           0.0041378,           0.0038338,             0.00571,             0.00571,             0.00571
                 132,            0.015265,           0.0074434,           0.0011283,             0.97232,             0.98115,             0.97661,             0.87389,           0.0086718,           0.0041004,           0.0037885,            0.005677,            0.005677,            0.005677
                 133,            0.015285,           0.0076731,           0.0011866,             0.96875,             0.97486,             0.97146,             0.86951,           0.0088722,           0.0043802,           0.0044761,            0.005644,            0.005644,            0.005644
                 134,            0.015289,           0.0079513,           0.0011762,             0.97781,             0.97905,             0.97803,             0.87133,           0.0089183,           0.0042374,           0.0038446,            0.005611,            0.005611,            0.005611
                 135,            0.015154,           0.0077621,           0.0012025,             0.98226,             0.97952,             0.98047,              0.8723,           0.0086288,           0.0040399,           0.0039358,            0.005578,            0.005578,            0.005578
                 136,            0.014924,            0.007574,           0.0011337,             0.97412,             0.97848,              0.9838,             0.87435,           0.0086069,           0.0040255,           0.0037189,            0.005545,            0.005545,            0.005545
                 137,            0.014989,           0.0076494,           0.0012569,             0.97824,               0.978,             0.97847,             0.86971,            0.008579,           0.0039668,           0.0041658,            0.005512,            0.005512,            0.005512
                 138,            0.015177,           0.0076724,           0.0013214,             0.97957,               0.978,             0.98066,             0.88147,           0.0082916,            0.003866,           0.0039639,            0.005479,            0.005479,            0.005479
                 139,            0.015136,           0.0075651,           0.0013938,             0.98289,              0.9794,             0.97955,             0.87276,           0.0085024,           0.0039279,           0.0039065,            0.005446,            0.005446,            0.005446
                 140,            0.014986,           0.0074841,           0.0013199,             0.97616,             0.98003,             0.97942,             0.87568,           0.0083741,           0.0041788,           0.0044119,            0.005413,            0.005413,            0.005413
                 141,            0.015026,           0.0075232,           0.0013771,             0.97901,               0.978,             0.97816,              0.8695,           0.0084805,           0.0041842,            0.004613,             0.00538,             0.00538,             0.00538
                 142,            0.014912,           0.0074168,           0.0011885,              0.9785,               0.978,             0.97978,             0.87606,           0.0083782,           0.0042559,           0.0040149,            0.005347,            0.005347,            0.005347
